"word","word_type","topic","phonetic","meaning_en","image_url","audio_url"
"rabbit","noun","Animals","ˈræbɪt","an animal that is small, eats plants, has a short tail, long ears, and soft fur","https://cdn.langeek.co/photo/50144/original/rabbit?type=jpeg","https://tts.langeek.co/read?text=cmFiYml0&hash=4d12b5f99d6fc02b8be99b34cf5bcb31ce0f24d6&lang=en&cache-only=0"
"deer","noun","Animals","dɪr","a large, wild animal with long legs which eats grass and can run very fast, typically the males have horns","https://cdn.langeek.co/photo/50166/original/deer?type=jpeg","https://tts.langeek.co/read?text=ZGVlcg&hash=e81f14aede3cfe19074734bc40cf27ca53f18d4d&lang=en&cache-only=0"
"kangaroo","noun","Animals","ˌkæŋɡəˈruː","a large Australian animal with a long tail and two strong legs that moves by leaping, female of which can carry its babies in its stomach pocket which is called a pouch","https://cdn.langeek.co/photo/17987/original/kangaroo?type=jpeg","https://tts.langeek.co/read?text=a2FuZ2Fyb28&hash=b95e1128da5fdd6cd56d46d053220f11e7fffc31&lang=en&cache-only=0"
"giraffe","noun","Animals","ʤəˈræf","a tall animal with a very long neck and long legs that has brown spots on its yellow fur","https://cdn.langeek.co/photo/50168/original/giraffe?type=jpeg","https://tts.langeek.co/read?text=Z2lyYWZmZQ&hash=a9b94e44e1cc4accd0fbe2aed659fb014ada71db&lang=en&cache-only=0"
"fox","noun","Animals","fɑːks","a small to medium-sized carnivorous mammal with a pointed muzzle and bushy tail, often have reddish-brown fur and are known for being clever and adaptable","https://cdn.langeek.co/photo/50078/original/fox?type=jpeg","https://tts.langeek.co/read?text=Zm94&hash=6dbc18df7f7b616f8e32fc6924313ed401ec5551&lang=en&cache-only=0"
"squirrel","noun","Animals","ˈskwɝːəl","a furry animal with a thick tail that lives in trees and feeds on nuts and seeds","https://cdn.langeek.co/photo/50233/original/squirrel?type=jpeg","https://tts.langeek.co/read?text=c3F1aXJyZWw&hash=4bad4eb2643cbb7daf4ca8906d65229a72a12708&lang=en&cache-only=0"
"crocodile","noun","Animals","ˈkrɑːkəˌdaɪl","a large reptile with very big jaws, sharp teeth, short legs, and a hard skin and long tail that lives in rivers and lakes in warmer regions","https://cdn.langeek.co/photo/50174/original/crocodile?type=jpeg","https://tts.langeek.co/read?text=Y3JvY29kaWxl&hash=e7b64715a657b231ccc1a8fdbf39fae0ddcff219&lang=en&cache-only=0"
"gorilla","noun","Animals","ɡəˈrɪlə","an African ape which has a large head and short neck that looks like a monkey with no tail","https://cdn.langeek.co/photo/50203/original/gorilla?type=jpeg","https://tts.langeek.co/read?text=Z29yaWxsYQ&hash=010537f173750599bb324ab399953e652cc85767&lang=en&cache-only=0"
"koala","noun","Animals","koʊˈɑɫə","a tree-dwelling Australian mammal with gray fur and large ears that feeds on eucalyptus leaves","https://cdn.langeek.co/photo/50205/original/?type=jpeg","https://tts.langeek.co/read?text=a29hbGE&hash=4f1cb2a0678477b52981fdce44647d4541edf244&lang=en&cache-only=0"
"sheep","noun","Animals","ʃiːp","a farm animal that we keep to use its meat or wool","https://cdn.langeek.co/photo/50184/original/sheep?type=jpeg","https://tts.langeek.co/read?text=c2hlZXA&hash=682afe5a452e28b71db0bbfb6bd6924b9ea65d16&lang=en&cache-only=0"
"pig","noun","Animals","pɪɡ","a farm animal that has short legs, a curly tail, and a fat body, typically raised for its meat","https://cdn.langeek.co/photo/50170/original/pig?type=jpeg","https://tts.langeek.co/read?text=cGln&hash=aba53c59705f5c5d6e92f1e2ed18b176172e2d7b&lang=en&cache-only=0"
"snake","noun","Animals","sneɪk","a legless, long, and thin animal whose bite may be dangerous","https://cdn.langeek.co/photo/48311/original/snake?type=jpeg","https://tts.langeek.co/read?text=c25ha2U&hash=e1962a8fea5960fd85432fcbdde3f2574ed7327a&lang=en&cache-only=0"
"worm","noun","Animals","ˈwɝm","a small soft-bodied animal with an elongated body that lacks limbs and eyes","https://cdn.langeek.co/photo/50100/original/?type=jpeg","https://tts.langeek.co/read?text=d29ybQ&hash=4f709c4bba73f935f80093cba1c2fd50b6e997e8&lang=en&cache-only=0"
"lobster","noun","Animals","ˈlɑːbstɚ","a sea animal with a shell, a pair of strong, large claws and eight legs","https://cdn.langeek.co/photo/17989/original/lobster?type=jpeg","https://tts.langeek.co/read?text=bG9ic3Rlcg&hash=f80df0c8e92db1bacb1968a8a1c27dda190def01&lang=en&cache-only=0"
"snail","noun","Animals","sneɪl","a small, soft creature which carries a hard shell on its back and moves very slowly","https://cdn.langeek.co/photo/50142/original/snail?type=jpeg","https://tts.langeek.co/read?text=c25haWw&hash=172d68964d3aba03bcf998295d102b94208ea0b3&lang=en&cache-only=0"
"lizard","noun","Animals","ˈlɪzɚd","a group of animals with a long body and tail, a rough skin and two pairs of short legs","https://cdn.langeek.co/photo/18021/original/lizard?type=jpeg","https://tts.langeek.co/read?text=bGl6YXJk&hash=311713b552fefde2ca18b4902d0ee7e13c7505b7&lang=en&cache-only=0"
"scorpion","noun","Animals","ˈskɔɹpiən","a venomous arachnid with two pincers and a curved tail that inhabits hot countries","https://cdn.langeek.co/photo/30008/original/?type=jpeg","https://tts.langeek.co/read?text=c2NvcnBpb24&hash=c84e6935c8f08d04384d304bb876996de26741ea&lang=en&cache-only=0"
"turtle","noun","Animals","ˈtɝtl","an animal that has a hard shell around its body and lives mainly in water","https://cdn.langeek.co/photo/18169/original/turtle?type=jpeg","https://tts.langeek.co/read?text=dHVydGxl&hash=b6d2f1b30204fccf50f6ae1b6d766f995fc0d55e&lang=en&cache-only=0"
"frog","noun","Animals","frɑːɡ","a small green animal with smooth skin, long legs for jumping and no tail, that lives both in water and on land","https://cdn.langeek.co/photo/50140/original/frog?type=jpeg","https://tts.langeek.co/read?text=ZnJvZw&hash=3aa4fc168fd3ae3d26e69e52b1a533326d463e89&lang=en&cache-only=0"
"panda","noun","Animals","ˈpændə","a large mammal that looks like a bear with black and white fur and eats bamboos, usually found in China","https://cdn.langeek.co/photo/24164/original/?type=jpeg","https://tts.langeek.co/read?text=cGFuZGE&hash=3bc8e8bf2c1e07412562f86458c6c4be1389dcf9&lang=en&cache-only=0"
"camel","noun","Animals","ˈkæməl","a large desert animal with a long neck and one or two humps on its back","https://cdn.langeek.co/photo/29216/original/camel?type=jpeg","https://tts.langeek.co/read?text=Y2FtZWw&hash=0069a4e4efaf0721e5b7f7277cbf729b71efe827&lang=en&cache-only=0"
"cow","noun","Animals","kaʊ","a large farm animal that we keep to use its milk or its meat","https://cdn.langeek.co/photo/50134/original/cow?type=jpeg","https://tts.langeek.co/read?text=Y293&hash=bcbe239980c7057c5e0583b18c68ad04a5c424d0&lang=en&cache-only=0"
"wolf","noun","Animals","wʊlf","a big and wild animal from the same family as dogs that hunts for food in groups","https://cdn.langeek.co/photo/17917/original/wolf?type=jpeg","https://tts.langeek.co/read?text=d29sZg&hash=6be53fb6519a48c41e02f4e04884f1fa8ed86859&lang=en&cache-only=0"
"jaguar","noun","Animals","ˈʤæɡˌwɑr/ , /ˈʤæɡjuːˌɑr","a large wild animal belonging to the cat family with a yellow fur covered with black spots, native to Central and South America","https://cdn.langeek.co/photo/50176/original/?type=jpeg","https://tts.langeek.co/read?text=amFndWFy&hash=90edc62fe627fcff28a79fe85c67a14817f3d93c&lang=en&cache-only=0"
"leopard","noun","Animals","ˈlɛpɚd","a large wild animal from the cat family with yellow fur and hollow black spots","https://cdn.langeek.co/photo/50178/original/leopard?type=jpeg","https://tts.langeek.co/read?text=bGVvcGFyZA&hash=20cd5bac981fe27db703385e98471e5ce8358bd6&lang=en&cache-only=0"
"monkey","noun","Animals","ˈmʌŋki","a playful and intelligent animal that has a long tail and usually lives in trees and warm countries","https://cdn.langeek.co/photo/50180/original/monkey?type=jpeg","https://tts.langeek.co/read?text=bW9ua2V5&hash=db4f59c42ce52e7adf15b2d27d96b0e79cda37ec&lang=en&cache-only=0"
"chimpanzee","noun","Animals","ˌʧɪmpænˈziː","an intelligent ape, with mainly black fur, which has no tail and is native to the forests of western and central Africa","https://cdn.langeek.co/photo/17975/original/chimpanzee?type=jpeg","https://tts.langeek.co/read?text=Y2hpbXBhbnplZQ&hash=f0279f4411b14199c5fff216b403024b3394d360&lang=en&cache-only=0"
"rat","noun","Animals","ræt","a large mouse-like animal with a long tail, which spreads diseases","https://cdn.langeek.co/photo/50182/original/rat?type=jpeg","https://tts.langeek.co/read?text=cmF0&hash=b23ce0e5d8273a9c0208df072d816f0eae33d452&lang=en&cache-only=0"
"beaver","noun","Animals","ˈbiːvər","a semiaquatic rodent with a wide tail and strong teeth that builds dams across streams and is mainly found in the Northern hemisphere","https://cdn.langeek.co/photo/24152/original/?type=jpeg","https://tts.langeek.co/read?text=YmVhdmVy&hash=173114332682255fd40bac7d82accb73d974c97e&lang=en&cache-only=0"
"mouse","noun","Animals","maʊs","a small animal that lives in fields or houses, and often has fur, a long furless thin tail, and a pointed nose","https://cdn.langeek.co/photo/29220/original/mouse?type=jpeg","https://tts.langeek.co/read?text=bW91c2U&hash=a18c5f8cd42cc436dfbb8fb3eea46162f70a9c29&lang=en&cache-only=0"
"hamster","noun","Animals","ˈhæmstɚ","a small animal of the rodent family, similar to a mouse, with a short tail and large cheeks for storing food","https://cdn.langeek.co/photo/50172/original/hamster?type=jpeg","https://tts.langeek.co/read?text=aGFtc3Rlcg&hash=da47c861ffb8424e0019bca19a3391bc886677e1&lang=en&cache-only=0"
"weasel","noun","Animals","ˈwiːzəl","a small carnivorous mammal with red-brown fur and a long slender body","https://cdn.langeek.co/photo/24372/original/?type=jpeg","https://tts.langeek.co/read?text=d2Vhc2Vs&hash=a669dbb7f88bf5d28119e41093e0f2e018d819df&lang=en&cache-only=0"
"ferret","noun","Animals","ˈfɛɹət","a slim furry animal with a long tail that is domesticated and is used for catching rabbits, rats, etc.","https://cdn.langeek.co/photo/24156/original/?type=jpeg","https://tts.langeek.co/read?text=ZmVycmV0&hash=8a1e7a2d1db46e23060363d67257ee0347f5a152&lang=en&cache-only=0"
"sloth","noun","Animals","ˈsɫoʊθ","a herbivorous mammal that is known for moving very slowly, which hangs from the trees and lives in tropical rainforests of South and Central America","https://cdn.langeek.co/photo/50231/original/?type=jpeg","https://tts.langeek.co/read?text=c2xvdGg&hash=9e8422b22dc5e0b66b79030dafd0818ae8ff8ba5&lang=en&cache-only=0"
"polar bear","noun","Animals","ˈpoʊlɚ bɛr","a large white bear which lives in the North Pole and is well-adapted to its icy environment","https://cdn.langeek.co/photo/50225/original/polar-bear?type=jpeg","https://tts.langeek.co/read?text=cG9sYXIgYmVhcg&hash=d6af17fa8873786e0700fd310df1fbf273e73c2b&lang=en&cache-only=0"
"bat","noun","Animals","bæt","a small flying creature that comes out at night","https://cdn.langeek.co/photo/18013/original/bat?type=jpeg","https://tts.langeek.co/read?text=YmF0&hash=4147aa6df285da69481cbec7bb1bdcf271413692&lang=en&cache-only=0"
"raccoon","noun","Animals","ræˈkun/ , /rəˈkun","a small animal with a thick tail, gray-brown fur and black marks on its face","https://cdn.langeek.co/photo/50227/original/raccoon?type=jpeg","https://tts.langeek.co/read?text=cmFjY29vbg&hash=355a7b341109335d9aa682c30269f72f8e567095&lang=en&cache-only=0"
"donkey","noun","Animals","ˈdɑŋki/ , /ˈdɔŋki","an animal that is like a horse but has shorter legs and longer ears, and is used for carrying things and riding","https://cdn.langeek.co/photo/50209/original/donkey?type=jpeg","https://tts.langeek.co/read?text=ZG9ua2V5&hash=797ffc28bb73d3530127b734cbda3c2ccb730a74&lang=en&cache-only=0"
"goat","noun","Animals","ˈɡoʊt","‌an animal with horns and a coat of hair that lives wild in the mountains or is kept on farms for its milk or meat","https://cdn.langeek.co/photo/50217/original/goat?type=jpeg","https://tts.langeek.co/read?text=Z29hdA&hash=563a2a9f22027fdd73291395430057ce7666fa3b&lang=en&cache-only=0"
"guinea pig","noun","Animals","ˈɡɪni pɪɡ","a small furry animal with rounded ears, short legs and no tail, which is often kept as a pet or for research","https://cdn.langeek.co/photo/17995/original/guinea-pig?type=jpeg","https://tts.langeek.co/read?text=Z3VpbmVhIHBpZw&hash=0fab9975f7e1edb07fc6685d14b6ea6a1b252961&lang=en&cache-only=0"
"sparrow","noun","Birds and Insects","ˈspɛɹoʊ","a small common songbird with grayish brown plumage that feeds on seeds or insects","https://cdn.langeek.co/photo/24749/original/?type=jpeg","https://tts.langeek.co/read?text=c3BhcnJvdw&hash=6987847b4463771b6b4d2f463b1341ff58b271c4&lang=en&cache-only=0"
"eagle","noun","Birds and Insects","ˈiːɡəl","a large bird of prey with a sharp beak, long broad wings, and very good sight","https://cdn.langeek.co/photo/50215/original/eagle?type=jpeg","https://tts.langeek.co/read?text=ZWFnbGU&hash=46286e448557e7c7c5c487e6ee3e3a404b84adf4&lang=en&cache-only=0"
"robin","noun","Birds and Insects","ˈɹɑbən/, /ˈɹɑbɪn","an American migratory songbird which is red on the breast and underpart","https://cdn.langeek.co/photo/25000/original/?type=jpeg","https://tts.langeek.co/read?text=cm9iaW4&hash=bba107bf7ba0c5ac2e793bac22043e61d67810c0&lang=en&cache-only=0"
"owl","noun","Birds and Insects","aʊl","a type of bird with a round face, large eyes and a loud call that hunts smaller animals mainly during the night","https://cdn.langeek.co/photo/50221/original/owl?type=jpeg","https://tts.langeek.co/read?text=b3ds&hash=4c1e2f05a61439c7ba8caa7b09276d90508b61bb&lang=en&cache-only=0"
"pigeon","noun","Birds and Insects","ˈpɪʤən","a bird with short legs and a short beak which typically has gray and white feathers","https://cdn.langeek.co/photo/18023/original/pigeon?type=jpeg","https://tts.langeek.co/read?text=cGlnZW9u&hash=e3e79f802a57a0a3a75cc88023df093c28b66b3a&lang=en&cache-only=0"
"seagull","noun","Birds and Insects","ˈsiˌɡəɫ","a grayish white aquatic bird with webbed feet and long wings","https://cdn.langeek.co/photo/25585/original/?type=jpeg","https://tts.langeek.co/read?text=c2VhZ3VsbA&hash=7ca721891899b3423c70e51371abef5eed5bd756&lang=en&cache-only=0"
"parrot","noun","Birds and Insects","ˈpɛɹət","a tropical bird with bright colors and a curved beak that can be trained to mimic human speech","https://cdn.langeek.co/photo/50223/original/?type=jpeg","https://tts.langeek.co/read?text=cGFycm90&hash=b940ec17d189463015db98616fb2572f9561b18d&lang=en&cache-only=0"
"swallow","noun","Birds and Insects","ˈswɑloʊ","a small fast-flying bird with pointed wings and tail and a short bill, which feeds on insects","https://cdn.langeek.co/photo/50213/original/?type=jpeg","https://tts.langeek.co/read?text=c3dhbGxvdw&hash=27597126d2f03e4055517325845cf5ddb634bf0d&lang=en&cache-only=0"
"goose","noun","Birds and Insects","ɡuːs","a waterbird with webbed feet, a long neck, and short beak, which is like a large duck","https://cdn.langeek.co/photo/18019/original/goose?type=jpeg","https://tts.langeek.co/read?text=Z29vc2U&hash=8a8d4d1e39486d8c1e807c0bd1e25c8d447662ff&lang=en&cache-only=0"
"duck","noun","Birds and Insects","dʌk","a bird with short legs and a wide beak that naturally lives near or on water or is kept by humans for its eggs, meat, or feathers","https://cdn.langeek.co/photo/28746/original/duck?type=jpeg","https://tts.langeek.co/read?text=ZHVjaw&hash=0c1955d898a556b0a64c42c40f2342a283366bda&lang=en&cache-only=0"
"ostrich","noun","Birds and Insects","ˈɔstɹɪtʃ","a fast and large bird that is flightless and has long legs and a long neck, native to Africa","https://cdn.langeek.co/photo/50207/original/?type=jpeg","https://tts.langeek.co/read?text=b3N0cmljaA&hash=a41ba25a928e1a0b85a40de08275b9fe82c7da79&lang=en&cache-only=0"
"peacock","noun","Birds and Insects","ˈpiːkɑk","a male bird with a large shiny colorful tail having eyelike patterns that can be raised for display","https://cdn.langeek.co/photo/50211/original/?type=jpeg","https://tts.langeek.co/read?text=cGVhY29jaw&hash=04e6d58c22ab1f40a40c0ce4333e191b8475c96a&lang=en&cache-only=0"
"vulture","noun","Birds and Insects","ˈvəɫtʃɝ","a large bird of prey with a bare head, a long neck and weak claws that is famous for scavenging","https://cdn.langeek.co/photo/25080/original/?type=jpeg","https://tts.langeek.co/read?text=dnVsdHVyZQ&hash=60518c433d0f563af0a0f752cc61882af0b209a9&lang=en&cache-only=0"
"woodpecker","noun","Birds and Insects","ˈwʊdˌpɛkɝ","a bird with a drill-like beak that makes holes in trees in search of insects to feed on","https://cdn.langeek.co/photo/25086/original/?type=jpeg","https://tts.langeek.co/read?text=d29vZHBlY2tlcg&hash=544703e1f60a017501668199421ab849a99c0ee2&lang=en&cache-only=0"
"hummingbird","noun","Birds and Insects","ˈhəmɪŋˌbɝd","a small tropical bird with colorful plumage and a long narrow bill that can sip nectar and hover or fly backwards","https://cdn.langeek.co/photo/50219/original/?type=jpeg","https://tts.langeek.co/read?text=aHVtbWluZ2JpcmQ&hash=af46b09c1874ccbad09d703135688d5704f5005b&lang=en&cache-only=0"
"flamingo","noun","Birds and Insects","fɫəˈmɪŋɡoʊ","a large aquatic bird with long legs and neck, pink plumage and a broad bill curved downward that lives near warm waters","https://cdn.langeek.co/photo/24665/original/?type=jpeg","https://tts.langeek.co/read?text=ZmxhbWluZ28&hash=8ce26430cbc50275ff3f2337f2f7c76e5be8df78&lang=en&cache-only=0"
"swift","noun","Birds and Insects","ˈswɪft","a small bird with narrow wings that flies high in the sky and is very fast","https://cdn.langeek.co/photo/50253/original/?type=jpeg","https://tts.langeek.co/read?text=c3dpZnQ&hash=b97c6d17438a2a571bd74059cfb356b0f947def8&lang=en&cache-only=0"
"canary","noun","Birds and Insects","kəˈnɛɹi","an African songbird of the finch family with yellow feathers, often kept as a pet","https://cdn.langeek.co/photo/50239/original/?type=jpeg","https://tts.langeek.co/read?text=Y2FuYXJ5&hash=07b7d2e29f851692e2ce92b9ea3cc3521c8d9cea&lang=en&cache-only=0"
"kingfisher","noun","Birds and Insects","ˈkɪŋˌfɪʃɝ","a small bird with a large crested head, orange and blue plumage and a long beak that uses to catch fish","https://cdn.langeek.co/photo/50261/original/?type=jpeg","https://tts.langeek.co/read?text=a2luZ2Zpc2hlcg&hash=0f3948f726622aa084b7bf724152a05d4675ec72&lang=en&cache-only=0"
"chicken","noun","Birds and Insects","ˈtʃɪkən","a farm bird that we keep to use its meat and eggs","https://cdn.langeek.co/photo/48607/original/chicken?type=jpeg","https://tts.langeek.co/read?text=Y2hpY2tlbg&hash=43db51a247bbe6686618629ba90aff6ab2ac7959&lang=en&cache-only=0"
"chick","noun","Birds and Insects","ˈtʃɪk","a newly-hatched bird, especially a domestic bird","https://cdn.langeek.co/photo/50257/original/?type=jpeg","https://tts.langeek.co/read?text=Y2hpY2s&hash=d3bc87b6b3f8195bf9ee8a242768b3e6749d905b&lang=en&cache-only=0"
"mockingbird","noun","Birds and Insects","ˈmɑkɪŋˌbɝd","a North American songbird with a long tail and grayish plumage that is known for its ability to copy the calls of other birds","https://cdn.langeek.co/photo/50263/original/?type=jpeg","https://tts.langeek.co/read?text=bW9ja2luZ2JpcmQ&hash=d786a6d9e129cd83a1e4a1651a6eeff5d41a6a21&lang=en&cache-only=0"
"pelican","noun","Birds and Insects","ˈpɛɫəkən","a large water bird with a long beak and a throat pouch that has grayish white plumage","https://cdn.langeek.co/photo/50265/original/?type=jpeg","https://tts.langeek.co/read?text=cGVsaWNhbg&hash=e0c60139c916161b5a508dc706e5a682ff6d78ec&lang=en&cache-only=0"
"finch","noun","Birds and Insects","ˈfɪntʃ","a small songbird with a short beak that feeds on seeds and nuts and has different colors","https://cdn.langeek.co/photo/24663/original/?type=jpeg","https://tts.langeek.co/read?text=ZmluY2g&hash=783e6af934983a302903c46e231a0231a9a45b14&lang=en&cache-only=0"
"blue jay","noun","Birds and Insects","blˈuː dʒˈeɪ","a North American songbird with a blue crest and blue feathers on the back","https://cdn.langeek.co/photo/24368/original/?type=jpeg","https://tts.langeek.co/read?text=Ymx1ZSBqYXk&hash=dc3c8f67b1d8f242213ec544628bf2395601c172&lang=en&cache-only=0"
"mynah","noun","Birds and Insects","mˈaɪnə","a southern Asian passerine with dark plumage that can imitate human speech","https://cdn.langeek.co/photo/24930/original/?type=jpeg","https://tts.langeek.co/read?text=bXluYWg&hash=eecc37d4e86fae0ec69d835f4e0912f08e46709d&lang=en&cache-only=0"
"falcon","noun","Birds and Insects","ˈfælkən","a predatory fast-flying bird that can be trained for hunting","https://cdn.langeek.co/photo/24661/original/?type=jpeg","https://tts.langeek.co/read?text=ZmFsY29u&hash=310dec515809d6557e1c5a1a12740b5170faf86e&lang=en&cache-only=0"
"crow","noun","Birds and Insects","kroʊ","a large bird with black feathers and a loud unpleasant call","https://cdn.langeek.co/photo/18017/original/crow?type=jpeg","https://tts.langeek.co/read?text=Y3Jvdw&hash=d9f9b9cd83bffc8ae57e1aa024af0dd994cfe776&lang=en&cache-only=0"
"raven","noun","Birds and Insects","ˈreɪvən","a large black bird belonging to the crow family with shiny feathers and a loud unpleasant call","https://cdn.langeek.co/photo/50271/original/?type=jpeg","https://tts.langeek.co/read?text=cmF2ZW4&hash=b2f614496c4b20b33ee6fcabff1a6807520de78e&lang=en&cache-only=0"
"turkey","noun","Birds and Insects","ˈtɝki","a large bird that has a bald head and is often kept for its meat, especially in the US","https://cdn.langeek.co/photo/37539/original/turkey?type=jpeg","https://tts.langeek.co/read?text=dHVya2V5&hash=aa06d314b6d2c0d1fd749eb9ee25422e6d33b78d&lang=en&cache-only=0"
"penguin","noun","Birds and Insects","ˈpɛŋɡwɪn","a large black-and-white seabird that lives in the Antarctic, and can not fly but uses its wings for swimming","https://cdn.langeek.co/photo/50267/original/penguin?type=jpeg","https://tts.langeek.co/read?text=cGVuZ3Vpbg&hash=2d927528dc0dbc6e5ef81a3539840f5b28ee8aaf&lang=en&cache-only=0"
"emu","noun","Birds and Insects","ˈimˌju","a large terrestrial bird that can run fast, originally from Australia","https://cdn.langeek.co/photo/50243/original/?type=jpeg","https://tts.langeek.co/read?text=ZW11&hash=7c4f5b75d5b54cc538e9405425a7154f392c312c&lang=en&cache-only=0"
"dove","noun","Birds and Insects","dʌv","a bird that looks like a pigeon but smaller, the white one of which is the symbol of peace","https://cdn.langeek.co/photo/50229/original/?type=jpeg","https://tts.langeek.co/read?text=ZG92ZQ&hash=57b555b8e5b414bba15e3e497e4309d499406081&lang=en&cache-only=0"
"crane","noun","Birds and Insects","kreɪn","a large bird with long legs and neck that lives near water and flies with its neck outstretched","https://cdn.langeek.co/photo/24454/original/?type=jpeg","https://tts.langeek.co/read?text=Y3JhbmU&hash=6564b182866302d17bbdfaad3429580a9b449c1e&lang=en&cache-only=0"
"swan","noun","Birds and Insects","swɑn","a large bird that is normally white, has a long neck and lives on or around water","https://cdn.langeek.co/photo/18007/original/swan?type=jpeg","https://tts.langeek.co/read?text=c3dhbg&hash=20faa5f3f361fbb17bfa73fe6899f77267b86e2b&lang=en&cache-only=0"
"ant","noun","Birds and Insects","ænt","a small insect that lives in a colony","https://cdn.langeek.co/photo/17971/original/ant?type=jpeg","https://tts.langeek.co/read?text=YW50&hash=53839514638f8168c2da4cc93dd93e055365f49d&lang=en&cache-only=0"
"bee","noun","Birds and Insects","biː","a black and yellow insect that collects nectar and produces wax and honey, which can fly and sting","https://cdn.langeek.co/photo/39257/original/bee?type=jpeg","https://tts.langeek.co/read?text=YmVl&hash=dc89f94a95d12e75fcc875dc76dff94cb6c85d37&lang=en&cache-only=0"
"butterfly","noun","Birds and Insects","ˈbʌtɚˌflaɪ","a flying insect with a long, thin body and large, typically brightly colored wings","https://cdn.langeek.co/photo/35824/original/butterfly?type=jpeg","https://tts.langeek.co/read?text=YnV0dGVyZmx5&hash=2efc8c8b0b09ae801e87ac7aaf85778da1a0352b&lang=en&cache-only=0"
"mosquito","noun","Birds and Insects","məˈskiːtoʊ","a flying insect that bites people and animals and feeds on their blood","https://cdn.langeek.co/photo/50249/original/mosquito?type=jpeg","https://tts.langeek.co/read?text=bW9zcXVpdG8&hash=5e795ceffe37781327e887c4ec4db53c8d5cf71b&lang=en&cache-only=0"
"beetle","noun","Birds and Insects","ˈbiːtl","a large, typically black insect, which has a hard case on its back that covers its wings","https://cdn.langeek.co/photo/35826/original/beetle?type=jpeg","https://tts.langeek.co/read?text=YmVldGxl&hash=90e44a48dd115d33e009de6b4a79dbad89541518&lang=en&cache-only=0"
"fly","noun","Birds and Insects","flaɪ","a small flying insect that has two wings","https://cdn.langeek.co/photo/28888/original/fly?type=jpeg","https://tts.langeek.co/read?text=Zmx5&hash=aa55c36b5ecdd5f84fa1a6ed9cbbe47269ba950c&lang=en&cache-only=0"
"ladybug","noun","Birds and Insects","ˈleɪdiˌbʌɡ","a small flying insect which is usually red with black spots","https://cdn.langeek.co/photo/39027/original/ladybug?type=jpeg","https://tts.langeek.co/read?text=bGFkeWJ1Zw&hash=fcd36749fac138e6b94985fda1d34cbb913e43ba&lang=en&cache-only=0"
